anger,happy,fear,sad,excite,brightness,loudness,mean
3.409375643,1.953031746,-3.78E-05,-0.000899552,0.026363274,0.36280009,0.005378458,1
3.503092655,1.257644683,-2.29E-05,-0.000574565,0.139175348,0.364424895,0.007029439,1
3.117986719,0.99254776,-1.37E-05,-0.000363329,0.313951041,0.374196565,0.012225015,1
2.441585859,1.159016599,-8.17E-06,-0.000227575,0.457564873,0.388449804,0.017914316,1
1.669843665,1.540060093,-4.83E-06,-0.000141257,0.514324467,0.403827231,0.022028868,1
0.940609749,1.818046236,-2.84E-06,-8.69E-05,0.486110751,0.417891278,0.023939791,1
0.328231025,1.901905816,-1.66E-06,-5.31E-05,0.403011073,0.431183122,0.024372425,1
-0.139293813,1.961722933,-9.60E-07,-3.21E-05,0.297003272,0.453839484,0.024143226,1
-0.462160001,2.216818413,-5.54E-07,-1.93E-05,0.191002525,0.492422561,0.023583568,1
-0.656003879,2.772338916,-3.18E-07,-1.15E-05,0.098002154,0.542827021,0.022801758,1
-0.744026141,3.609222721,-1.81E-07,-6.83E-06,0.023751493,0.595376306,0.022156551,1
-0.752038603,4.605551537,-1.03E-07,-4.02E-06,-0.030480115,0.639906979,0.021823263,1
-0.698982385,5.58224245,-5.81E-08,-2.35E-06,-0.066004568,0.662797976,0.021863718,1
-0.581236425,6.350108622,-3.27E-08,-1.37E-06,-0.0855505,0.658954621,0.022327769,1
-0.430168712,6.874764619,-1.83E-08,-7.92E-07,-0.092509955,0.635598486,0.023348416,1
-0.291212862,7.225123988,-1.02E-08,-4.56E-07,-0.090396405,0.603739491,0.024437808,1
-0.187427986,7.453260921,-5.66E-09,-2.61E-07,-0.082448536,0.571960954,0.025134968,1
-0.120226339,7.543224448,-3.13E-09,-1.48E-07,-0.071374773,0.544605418,0.025211903,1
-0.081273492,7.439131537,-1.72E-09,-8.41E-08,-0.059236116,0.526328692,0.024723453,1
-0.060928528,7.132892801,-9.45E-10,-4.74E-08,-0.047446214,0.518519494,0.02384184,1
-0.051550365,6.667029668,-5.17E-10,-2.66E-08,-0.036852483,0.518281708,0.022602595,1
-0.047910858,6.1117873,-2.81E-10,-1.49E-08,-0.027858674,0.521957982,0.021405037,1
-0.04667035,5.411425762,-1.53E-10,-8.29E-09,-0.020555771,0.526738294,0.020652205,1
-0.045814323,4.490473645,-8.28E-11,-4.59E-09,-0.014839195,0.53014635,0.019869543,1
-0.044260341,3.43497331,-4.47E-11,-2.54E-09,-0.010501415,0.531025524,0.018196016,1
-0.041589488,2.413332216,-2.40E-11,-1.40E-09,-0.007297564,0.530520179,0.015496592,1
-0.037832679,1.554826203,-1.29E-11,-7.65E-10,-0.004986937,0.534049204,0.013052599,1
-0.033283642,0.920766102,-6.90E-12,-4.18E-10,-0.003355595,0.545232027,0.011726487,1
-0.02834215,0.539073066,-3.68E-12,-2.28E-10,-0.002225737,0.562791731,0.01126393,1
-0.023398857,0.409817245,-1.96E-12,-1.24E-10,-0.001456739,0.581748128,0.011028702,1
-0.018766386,0.438515843,-1.04E-12,-6.69E-11,-0.000941635,0.592867795,0.010584917,1
-0.014651596,0.556897028,-5.50E-13,-3.61E-11,-0.000601624,0.590788216,0.009583795,1
-0.011157723,0.668312599,-2.91E-13,-1.94E-11,-0.000380213,0.576211439,0.008430479,1
-0.008303642,0.658567665,-1.53E-13,-1.04E-11,-0.000237834,0.549336943,0.007579976,1
-0.006049473,0.501453805,-8.05E-14,-5.57E-12,-0.000147343,0.512623517,0.006982125,1
-0.004321273,0.294577153,-4.22E-14,-2.97E-12,-9.05E-05,0.473817496,0.00655049,1
-0.003030944,0.211746874,-2.21E-14,-1.58E-12,-5.51E-05,0.451902171,0.006631759,1
